Maine,No,,Strategic, $900 , $315.00 , $189.00 ," $1,089 ",,Strategic,35%,25%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,No,,Executive, $950 , $332.50 , $199.50 ," $1,150 ",,Executive,35%,25%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,No,,Custom," $1,000 ", $350.00 , $210.00 ," $1,210 ",,Custom,35%,25%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
